ID,EN Term,ZH Term,FR Term,Category,Subcategory,Domain,Definition,Notes,Example_EN,Example_ZH,Example_FR
ANA001,Abdomen,腹部,Abdomen,Anatomy,General,Digestive,"Body region between thorax and pelvis","胸与骨盆之间的区域","Palpate the abdomen gently.","轻柔触诊腹部。","Palper l'abdomen délicatement."
AIR002,Airway,气道,Voies aériennes,Basic,General,Respiratory,"Passage for air to lungs","保持通畅是急救第一步","Clear the airway first.","首先清理气道。","Dégagez les voies aériennes en premier."
PRO003,Auscultate,听诊,Auscultation,Procedure,Examination,Diagnostic,"Listening to body sounds","用听诊器检查","Auscultate lung sounds.","听诊呼吸音。","Auscultation des bruits pulmonaires."
DIS004,Anemia,贫血,Anémie,Disease,Hematology,Blood,"Low RBC count","血红蛋白降低","Iron deficiency causes anemia.","缺铁导致贫血。","La carence en fer provoque l'anémie."
BAC005,Bacteria,细菌,Bactérie,Pathogen,Microbiology,Infectious,"Microscopic organisms","抗生素靶向","Culture identifies bacteria.","培养鉴定细菌。","La culture identifie les bactéries."
BAN006,Bandage,绷带,Bandage,Instrument,Wound Care,Trauma,"Wound covering","用于压迫止血","Apply sterile bandage.","使用无菌绷带。","Appliquer un bandage stérile."
BOW007,Bowel,肠,Intestin,Anatomy,General,Digestive,"Digestive tract part","消化系统末端","Bowel sounds indicate motility.","肠鸣音反映蠕动。","Les bruits intestinaux indiquent la motilité."
CON008,Consciousness,意识,Conscience,Status,General,Neurological,"State of awareness","清醒/嗜睡/昏迷","Assess consciousness level.","评估意识水平。","Évaluer le niveau de conscience."
MED009,Contraindication,禁忌症,Contre-indication,Medication,Safety,Pharmacology,"Reason to avoid treatment","禁止使用的情况","Pregnancy is a contraindication.","妊娠是禁忌症。","La grossesse est une contre-indication."
COU010,Cough,咳嗽,Toux,Symptom,General,Respiratory,"Expulsive reflex","呼吸道防御反射","Dry cough vs productive cough.","干咳 vs 咳痰。","Toux sèche vs toux productive."
DEH011,Dehydration,脱水,Déshydratation,Condition,General,Metabolic,"Fluid deficiency","体液不足","Severe dehydration needs IV fluids.","严重脱水需静脉补液。","La déshydratation sévère nécessite des perfusions."
DIA012,Dialysis,透析,Dialyse,Treatment,Nephrology,Renal,"Blood filtration","肾功能替代治疗","Hemodialysis 3 times weekly.","每周3次血液透析。","Hémodialyse 3 fois par semaine."
DIZ013,Dizziness,头晕,Vertige,Symptom,General,Neurological,"Balance disorder","空间定向障碍","Dizziness when standing up.","站立时头晕。","Vertige en se levant."
EDI014,Edema,水肿,Œdème,Symptom,General,General,"Tissue swelling","组织液积聚","Pitting edema in legs.","下肢凹陷性水肿。","Œdème prenant le godet aux membres inférieurs."
EXA015,Examination,检查,Examen,Procedure,General,Diagnostic,"Physical assessment","体格检查","Complete physical examination.","完成体格检查。","Examen physique complet."
CT_016,CT scan,CT扫描,Scanner,Diagnostic,Imaging,Radiology,"Cross-sectional imaging","计算机断层成像","Head CT rules out bleeding.","头颅CT排除出血。","Le scanner cérébral élimine l'hémorragie."
